question_id,question,hop_diameter,repeat_idx,llama_response
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,1,"```python
import pandas as pd

def unemployment_ratio_avg(feature_df):
    # Filter data for 1995 and 1996
    data_1995 = feature_df[feature_df['date'].apply(lambda x: x.year == 1995)]
    data_1996 = feature_df[feature_df['date'].apply(lambda x: x.year == 1996)]

    # Assuming there's a column 'unemployment_ratio' in the feature_df
    # Calculate average unemployment ratio for 1995 and 1996
    avg_ratio_1995 = data_1995['unemployment_ratio'].mean()
    avg_ratio_1996 = data_1996['unemployment_ratio'].mean()

    # Compare the averages
    if avg_ratio_1995 > avg_ratio_1996:
        return '1995 has a higher average unemployment ratio'
    elif avg_ratio_1995 < avg_ratio_1996:
        return '1996 has a higher average unemployment ratio'
    else:
        return 'Both years have the same average unemployment ratio'

# Assuming the feature_df is the district DataFrame
def compute_feature(feature_df):
    # Assuming there's a column 'date' and 'unemployment_ratio' in the feature_df
    feature_df['date'] = pd.to_datetime(feature_df['date'])
    feature_df['unemployment_ratio'] = pd.to_numeric(feature_df['unemployment_ratio'])
    
    return unemployment_ratio_avg(feature_df)

print(compute_feature(feature_df))
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,2,"```python
import pandas as pd

def unemployment_ratio(df_account, df_loan, year):
    # Filter loans by year
    loans_year = df_loan[df_loan['date'].str.startswith(str(year))]

    # Calculate total number of loans and unemployed individuals
    total_loans = len(loans_year)
    unemployed = len(df_account[df_account['date'].apply(lambda x: (x.year, x.month) in [(year, 1), (year, 2), (year, 3), (year, 4), (year, 5), (year, 6), (year, 7), (year, 8), (year, 9)]) or (x.year, x.month) in [(year, 10), (year, 11), (year, 12)])])

    # Calculate unemployment ratio
    if total_loans == 0:
        ratio = 0
    else:
        ratio = unemployed / total_loans

    return ratio

def average_unemployment_ratio(df_account, df_loan):
    ratio_1995 = unemployment_ratio(df_account, df_loan, 1995)
    ratio_1996 = unemployment_ratio(df_account, df_loan, 1996)

    if ratio_1995 > ratio_1996:
        return '1995'
    elif ratio_1996 > ratio_1995:
        return '1996'
    else:
        return 'Both years have the same unemployment ratio'

# Assuming the DataFrames are already loaded
average_year = average_unemployment_ratio(df_account, df_loan)
print(average_year)
```"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,3,"```python
import pandas as pd

def unemployment_ratio(df_account, df_card, df_client, df_district, df_loan, df_order, df_trans):
    # Filter accounts that are not cards
    account_not_cards = df_account.merge(df_card, left_on='account_id', right_on='disp_id', how='left')
    account_not_cards = account_not_cards[account_not_cards['card_id'].isna()]
    
    # Filter accounts that are not clients
    account_not_clients = account_not_cards.merge(df_client, left_on='district_id', right_on='district_id', how='left')
    account_not_clients = account_not_clients[account_not_clients['client_id'].isna()]
    
    # Filter accounts that are not districts
    account_not_districts = account_not_clients.merge(df_district, left_on='district_id', right_on='district_id', how='left')
    account_not_districts = account_not_districts[account_not_districts['district_id'].isna()]
    
    # Filter accounts that are not loans
    account_not_loans = account_not_districts.merge(df_loan, left_on='account_id', right_on='account_id', how='left')
    account_not_loans = account_not_loans[account_not_loans['loan_id'].isna()]
    
    # Calculate unemployment ratio for 1995
    df_1995 = df_account[df_account['date'].str.contains('1995')]
    df_1995['is_unemployed'] = df_1995['date'].isin(df_order[df_order['date'].str.contains('1995')]['date'])
    df_1995_unemployed = df_1995[df_1995['is_unemployed']]
    df_1995_unemployed_count = df_1995_unemployed.shape[0]
    df_1995_total_count = df_account.shape[0]
    df_1995_unemployment_ratio = (df_1995_unemployed_count / df_1995_total_count) * 100
    
    # Calculate unemployment ratio for 1996
    df_1996 = df_account[df_account['date'].str.contains('1996')]
    df_1996['is_unemployed'] = df_1996['date'].isin(df_order[df_order['date'].str.contains('1996')]['date'])
    df_1996_unemployed = df_1996[df_1996['is_unemployed']]
    df_1996_unemployed_count = df_1996_unemployed.shape[0]
    df_1996_total_count = df_account.shape[0]
    df_1996_unemployment_ratio = (df_1996_unemployed_count / df_1996_total_count) * 100
    
    # Compare the unemployment ratios
    if df_1995_unemployment_ratio > df_1996_unemployment_ratio:
        return '1995 has a higher unemployment ratio'
    elif df_1995_unemployment_ratio < df_1996_unemployment_ratio:
        return '1996 has a higher unemployment ratio'
    else:
        return 'Both years have the same unemployment ratio'
    
# Example usage
df_account = pd.DataFrame({'account_id': [1, 2, 3], 'district_id': [101, 102, 103], 'frequency': [1, 2, 3], 'date': ['1995-01-01', '1996-01-01', '1997-01-01']})
df_card = pd.DataFrame({'card_id': [1, 2, 3], 'disp_id': [101, 102, 103], 'type': ['credit', 'debit', 'credit'], 'issued': ['1995-01-01', '1996-01-01', '1997-01-01']})
df_client = pd.DataFrame({'client_id': [101, 102, 103], 'gender': ['male', 'female', 'male'], 'birth_date': ['1990-01-01', '1991-01-01', '1992-01-01'], 'district_id': [101, 102, 103]})
df_district = pd.DataFrame({'district_id': [101, 102, 103], 'A2': ['a', 'b', 'c'], 'A3': ['d', 'e', 'f'], 'A4': ['g', 'h', 'i'], 'A5': ['j', 'k', 'l'], 'A6': ['m', 'n', 'o'], 'A7': ['p', 'q', 'r'], 'A8': ['s', 't', 'u'], 'A9': ['v', 'w', 'x'], 'A10': ['y', 'z', 'aa'], 'A11': ['ab', 'ac', 'ad'], 'A12': ['ae', 'af', 'ag'], 'A13':"
91,"The average unemployment ratio of 1995 and 1996, which one has higher percentage?",0,4,"```python
import pandas as pd

def avg_unemployment_ratio(df):
    # Filter data for 1995 and 1996
    df_1995 = df[df['date'].str.startswith('1995')]
    df_1996 = df[df['date'].str.startswith('1996')]

    # Calculate average unemployment ratio for 1995 and 1996
    avg_1995 = (df_1995['A2'] + df_1995['A3'] + df_1995['A4'] + df_1995['A5'] + df_1995['A6'] + df_1995['A7'] + df_1995['A8'] + df_1995['A9'] + df_1995['A10'] + df_1995['A11'] + df_1995['A12'] + df_1995['A13'] + df_1995['A14'] + df_1995['A15'] + df_1995['A16']) / 15
    avg_1996 = (df_1996['A2'] + df_1996['A3'] + df_1996['A4'] + df_1996['A5'] + df_1996['A6'] + df_1996['A7'] + df_1996['A8'] + df_1996['A9'] + df_1996['A10'] + df_1996['A11'] + df_1996['A12'] + df_1996['A13'] + df_1996['A14'] + df_1996['A15'] + df_1996['A16']) / 15

    # Compare the two averages
    if avg_1995 > avg_1996:
        return '1995'
    elif avg_1996 > avg_1995:
        return '1996'
    else:
        return 'Both years have the same average unemployment ratio'

# Example usage
df = district
print(avg_unemployment_ratio(df))
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,0,"```python
import pandas as pd

def count_districts():
    # Calculate average salary for each district
    district_avg_salary = (
        pd.merge(district, client, on='district_id')
        .merge(card, on='disp_id')
        .merge(account, on='account_id')
        .merge(loan, on='account_id')
        .groupby('district_id')[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']]
        .mean()
    )

    # Merge average salary with district information
    district_info = district.set_index('district_id')

    # Calculate total income for each district
    district_info['total_income'] = district_info[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']].sum(axis=1)

    # Filter for female clients
    female_districts = (
        pd.merge(district_info, client, on='district_id')
        .query('gender == ""Female""')
    )

    # Filter for districts with average salary between 6000 and 10000
    districts = female_districts[
        (female_districts['total_income'] / female_districts['total_population']) > 6000
        & (female_districts['total_income'] / female_districts['total_population']) < 10000
    ]

    # Return the count of districts
    return len(districts)

# Assume the tables are already loaded as pandas DataFrames with the same names as above
# You can call the function like this:
print(count_districts())
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,1,"```python
import pandas as pd

def compute_districts():
    # Filter clients who are female
    female_clients = client[client['gender'] == 'F']
    
    # Merge client information into district information
    district_info = pd.merge(district, female_clients[['district_id']], on='district_id')
    
    # Merge client information into account information
    account_info = pd.merge(account, female_clients[['client_id']], on='client_id')
    
    # Merge account information into loan information
    loan_info = pd.merge(loan, account_info[['account_id']], on='account_id')
    
    # Filter loans where the status is not 'active' and the client has an account
    valid_loans = loan_info[loan_info['status'] != 'active']
    
    # Calculate the average salary for each district
    avg_salary = valid_loans.groupby('district_id')['amount'].mean().reset_index()
    
    # Filter districts where the average salary is between 6000 and 10000
    filtered_districts = avg_salary[(avg_salary['amount'] > 6000) & (avg_salary['amount'] < 10000)]
    
    # Return the number of districts that meet the condition
    return filtered_districts.shape[0]

print(compute_districts())
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,2,"```python
import pandas as pd

def female_average_salary(district):
    # Filter female clients
    female_clients = client[client['gender'] == 'F']
    
    # Merge with district DataFrame to get average salary for each district
    avg_salary = pd.merge(female_clients, district, on='district_id')[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'salary']]
    
    # Calculate average salary for each district
    avg_salary['salary'] = (avg_salary['A2'] + avg_salary['A3'] + avg_salary['A4'] + avg_salary['A5'] + avg_salary['A6'] + avg_salary['A7'] + avg_salary['A8'] + avg_salary['A9'] + avg_salary['A10'] + avg_salary['A11'] + avg_salary['A12'] + avg_salary['A13'] + avg_salary['A14'] + avg_salary['A15'] + avg_salary['A16']) / 16
    
    # Group by district and calculate average salary
    avg_salary = avg_salary.groupby('district_id')['salary'].mean().reset_index()
    
    # Merge with district DataFrame to get district names
    avg_salary = pd.merge(avg_salary, district, on='district_id')[['district_id', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'name']]
    
    # Filter districts with female average salary between 6000 and 10000
    filtered_districts = avg_salary[(avg_salary['salary'] > 6000) & (avg_salary['salary'] < 10000)][['name']]
    
    # Return number of districts
    return len(filtered_districts)

# Assuming all DataFrames are loaded as above
print(female_average_salary(district))
```

```python
import pandas as pd

def count_districts():
    # Filter female clients
    female_clients = client[client['gender'] == 'F']
    
    # Merge with district DataFrame to get average salary for each district
    avg_salary = pd.merge(female_clients, district, on='district_id')[['district_id', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']]
    
    # Calculate average salary for each district
    avg_salary['salary'] = (avg_salary['A2'] + avg_salary['A3'] + avg_salary['A4'] + avg_salary['A5'] + avg_salary['A6'] + avg_salary['A7'] + avg_salary['A8'] + avg_salary['A9'] + avg_salary['A10'] + avg_salary['A11'] + avg_salary['A12'] + avg_salary['A13'] + avg_salary['A14'] + avg_salary['A15'] + avg_salary['A16']) / 16
    
    # Group by district and calculate average salary
    avg_salary = avg_salary.groupby('district_id')['salary'].mean().reset_index()
    
    # Merge with district DataFrame to get district names
    avg_salary = pd.merge(avg_salary, district, on='district_id')[['district_id', 'name', 'salary']]
    
    # Filter districts with female average salary between 6000 and 10000
    filtered_districts = avg_salary[(avg_salary['salary'] > 6000) & (avg_salary['salary'] < 10000)][['name']]
    
    # Return number of districts
    return len(filtered_districts)

# Assuming all DataFrames are loaded as above
print(count_districts())
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,3,"```python
import pandas as pd

def count_districts_by_female_salary(df_client, df_district, df_loan):
    # Merge client and district data
    df_client_district = pd.merge(df_client, df_district, on='district_id')

    # Calculate average salary for female clients
    df_female_salary = df_client_district[df_client_district['gender'] == 'F']
    df_female_salary = df_female_salary.groupby('district_id')['A2'].mean().reset_index()

    # Merge loan and female salary data
    df_district_loan = pd.merge(df_district, df_loan, on='district_id')

    # Filter districts with female average salary between 6000 and 10000
    df_result = df_female_salary[(df_female_salary['A2'] > 6000) & (df_female_salary['A2'] < 10000)]

    # Count the number of districts
    result = len(df_result)

    return result
```"
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,1,4,"```python
import pandas as pd

def count_districts():
    # Filter clients who are female
    female_clients = client[client['gender'] == 'F']
    
    # Merge female clients with district data
    merged_data = pd.merge(female_clients, district, on='district_id')
    
    # Calculate average salary for each district
    avg_salary = merged_data.groupby('district_id')[['A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16']].mean().reset_index()
    
    # Rename columns for better understanding
    avg_salary.columns = ['district_id', 'average_salary']
    
    # Merge average salary with district data
    merged_data = pd.merge(district, avg_salary, on='district_id')
    
    # Filter districts where average salary is between 6000 and 10000
    filtered_districts = merged_data[(merged_data['average_salary'] > 6000) & (merged_data['average_salary'] < 10000)]
    
    # Return the count of districts
    return filtered_districts['district_id'].nunique()

print(count_districts())
```"
93,How many male customers who are living in North Bohemia have average salary greater than 8000?,1,0,"```python
import pandas as pd

def count_customers(df_client, df_district, df_loan):
    # Merge client and district DataFrames
    df_customers = pd.merge(df_client, df_district, left_on='district_id', right_on='district_id')
    
    # Filter North Bohemia district
    north_bohemia_mask = (df_customers['A2'] == 1) | (df_customers['A3'] == 1) | (df_customers['A4'] == 1)
    df_customers_north_bohemia = df_customers[north_bohemia_mask]
    
    # Merge with loan DataFrame
    df_customers_north_bohemia_loan = pd.merge(df_customers_north_bohemia, df_loan, left_on='client_id', right_on='account_id')
    
    # Filter male customers
    male_mask = df_customers_north_bohemia_loan['gender'] == 'male'
    df_males = df_customers_north_bohemia_loan[male_mask]
    
    # Calculate average salary
    # Assuming the average salary is calculated from the 'amount' column in the 'loan' DataFrame
    avg_salary = df_males.groupby('client_id')['amount'].mean().reset_index()
    
    # Filter customers with average salary greater than 8000
    df_customers_avg_salary = pd.merge(df_males, avg_salary, left_on='client_id', right_on='client_id')
    salary_mask = (df_customers_avg_salary['amount'] > 8000)
    df_customers_avg_salary_gt_8000 = df_customers_avg_salary[salary_mask]
    
    # Count customers
    count = df_customers_avg_salary_gt_8000.shape[0]
    
    return count
```

This function assumes that the average salary is calculated from the 'amount' column in the 'loan' DataFrame and that the average salary is calculated for each customer separately. It also assumes that the 'gender' column in the 'client' DataFrame contains either 'male' or 'female' values."
93,How many male customers who are living in North Bohemia have average salary greater than 8000?,1,1,"```python
import pandas as pd

def compute_feature(df_client, df_district, df_card):
    # Merge client and district DataFrames
    df_client_district = pd.merge(df_client, df_district, on='district_id')

    # Filter clients from North Bohemia
    north_bohemia_district_ids = df_district[df_district['A2'] == 'North Bohemia']['district_id'].unique()
    df_north_bohemia_clients = df_client_district[df_client_district['district_id'].isin(north_bohemia_district_ids)]

    # Merge with card DataFrame to get salary information
    df_north_bohemia_clients_with_salary = pd.merge(df_north_bohemia_clients, df_card, on='client_id')

    # Calculate average salary
    df_average_salary = df_north_bohemia_clients_with_salary.groupby('client_id')['A10'].mean().reset_index()

    # Filter male clients with average salary greater than 8000
    df_result = df_average_salary[df_average_salary['A10'] > 8000][['client_id']]

    # Get client IDs and then get client information
    df_result = df_client[df_client['client_id'].isin(df_result['client_id'])][['client_id', 'gender', 'birth_date', 'district_id']]

    return df_result
```"
93,How many male customers who are living in North Bohemia have average salary greater than 8000?,1,2,"```python
import pandas as pd

def count_males_in_north_bohemia(df_client, df_district, df_loan, threshold=8000):
    # Merge client and district DataFrames
    merged_client_district = pd.merge(df_client, df_district, left_on='district_id', right_on='district_id', how='inner')
    
    # Filter clients who are male
    males = merged_client_district[merged_client_district['gender'] == 'male']
    
    # Filter districts which are in North Bohemia
    north_bohemia_districts = df_district[df_district['A2'] == 'North Bohemia']
    
    # Merge males and North Bohemia districts DataFrames
    merged_males_districts = pd.merge(males, north_bohemia_districts, left_on='district_id', right_on='district_id', how='inner')
    
    # Merge merged DataFrame with loan DataFrame
    merged_loans = pd.merge(merged_males_districts, df_loan, left_on='client_id', right_on='account_id', how='inner')
    
    # Calculate average salary
    merged_loans['average_salary'] = merged_loans['amount'] / merged_loans['duration']
    
    # Filter clients with average salary greater than threshold
    result = merged_loans[merged_loans['average_salary'] > threshold]
    
    return result.shape[0]
```

This function assumes that the DataFrames are already loaded and available as `df_client`, `df_district`, `df_loan`. It computes the feature answering the question by merging the DataFrames, filtering the data, and counting the number of clients who meet the specified conditions."
